web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599412808-131,https://www.oddsportal.com/soccer/france/ligue-1/,Nimes - Rennes,https://www.oddsportal.com/soccer/france/ligue-1/nimes-rennes-vBFTVKbL/,Ligue 1,"Sunday, 13 Sep  2020, 13:00",Nimes - Rennes,
1599411640-2,https://www.oddsportal.com/soccer/spain/laliga/,Real Sociedad - Real Madrid,https://www.oddsportal.com/soccer/spain/laliga/real-sociedad-real-madrid-vmXyKZZb/,LaLiga,"Sunday, 20 Sep  2020, 19:00",Real Sociedad - Real Madrid,
1599412396-85,https://www.oddsportal.com/soccer/germany/bundesliga/,B. Monchengladbach - Union Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-union-berlin-SOeAsOaE/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",B. Monchengladbach - Union Berlin,
1599412026-45,https://www.oddsportal.com/soccer/russia/premier-league/,Ural - Khimki,https://www.oddsportal.com/soccer/russia/premier-league/ural-khimki-xKIJLJrC/,Premier League,"Saturday, 12 Sep  2020, 13:30",Ural - Khimki,
1599412303-75,https://www.oddsportal.com/soccer/netherlands/eredivisie/,FC Emmen - Venlo,https://www.oddsportal.com/soccer/netherlands/eredivisie/fc-emmen-venlo-bo9j9JKO/,Eredivisie,"Sunday, 13 Sep  2020, 10:15",FC Emmen - Venlo,
1599412538-101,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Santa Clara - Maritimo,https://www.oddsportal.com/soccer/portugal/primeira-liga/santa-clara-maritimo-bXRmKPvs/,Primeira Liga,"Sunday, 20 Sep  2020, 15:00",Santa Clara - Maritimo,
1599411833-23,https://www.oddsportal.com/soccer/europe/europa-league/,Plzen (Cze)  - Sonderjyske (Den),https://www.oddsportal.com/soccer/europe/europa-league/plzen-sonderjyske-Eipk8tzA/,Europa League,"Thursday, 24 Sep  2020, 16:00",Plzen (Cze)  - Sonderjyske (Den),
1599412370-82,https://www.oddsportal.com/soccer/germany/bundesliga/,Schalke - Werder Bremen,https://www.oddsportal.com/soccer/germany/bundesliga/schalke-werder-bremen-txLgZa7f/,Bundesliga,"Saturday, 26 Sep  2020, 16:30",Schalke - Werder Bremen,
1599412362-81,https://www.oddsportal.com/soccer/germany/bundesliga/,Hoffenheim - Bayern Munich,https://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-bayern-munich-lvpJu2UQ/,Bundesliga,"Sunday, 27 Sep  2020, 13:30",Hoffenheim - Bayern Munich,
1599413026-155,https://www.oddsportal.com/soccer/england/premier-league/,Aston Villa - Sheffield Utd,https://www.oddsportal.com/soccer/england/premier-league/aston-villa-sheffield-utd-6i4WgGHA/,Premier League,"Sunday, 20 Sep  2020, 13:00",Aston Villa - Sheffield Utd,
1599412648-113,https://www.oddsportal.com/soccer/italy/serie-a/,Genoa - Crotone,https://www.oddsportal.com/soccer/italy/serie-a/genoa-crotone-U1mY0swr/,Serie A,"Sunday, 20 Sep  2020, 13:00",Genoa - Crotone,
1599411909-31,https://www.oddsportal.com/soccer/russia/premier-league/,Dynamo Moscow - Akhmat Grozny,https://www.oddsportal.com/soccer/russia/premier-league/dynamo-moscow-akhmat-grozny-nk0ArsjP/,Premier League,"Monday, 21 Sep  2020, 16:00",Dynamo Moscow - Akhmat Grozny,
1599412673-116,https://www.oddsportal.com/soccer/italy/serie-a/,Fiorentina - Torino,https://www.oddsportal.com/soccer/italy/serie-a/fiorentina-torino-C8o75NUQ/,Serie A,"Saturday, 19 Sep  2020, 16:00",Fiorentina - Torino,
1599411926-33,https://www.oddsportal.com/soccer/russia/premier-league/,Rubin Kazan - Spartak Moscow,https://www.oddsportal.com/soccer/russia/premier-league/rubin-kazan-spartak-moscow-IXjtwLDn/,Premier League,"Sunday, 20 Sep  2020, 13:30",Rubin Kazan - Spartak Moscow,
1599412462-93,https://www.oddsportal.com/soccer/germany/bundesliga/,Stuttgart - Freiburg,https://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-freiburg-ELi6r4p8/,Bundesliga,"Saturday, 19 Sep  2020, 13:30",Stuttgart - Freiburg,
1599412900-141,https://www.oddsportal.com/soccer/england/championship/,Preston - Swansea,https://www.oddsportal.com/soccer/england/championship/preston-swansea-Iy5t8Ve0/,Championship,"Saturday, 12 Sep  2020, 14:00",Preston - Swansea,
1599412841-135,https://www.oddsportal.com/soccer/france/ligue-1/,Lille - Metz,https://www.oddsportal.com/soccer/france/ligue-1/lille-metz-jkZY9wx2/,Ligue 1,"Sunday, 13 Sep  2020, 11:00",Lille - Metz,
1599411691-8,https://www.oddsportal.com/soccer/spain/laliga/,Alaves - Betis,https://www.oddsportal.com/soccer/spain/laliga/alaves-betis-UXqQ9Uff/,LaLiga,"Monday, 14 Sep  2020, 19:00",Alaves - Betis,
1599412597-107,https://www.oddsportal.com/soccer/italy/serie-a/,Udinese - Spezia,https://www.oddsportal.com/soccer/italy/serie-a/udinese-spezia-EkNyL2UD/,Serie A,"Wednesday, 30 Sep  2020, 18:00",Udinese - Spezia,
1599412513-98,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Portimonense - Ferreira,https://www.oddsportal.com/soccer/portugal/primeira-liga/portimonense-ferreira-SQY3Gsv6/,Primeira Liga,"Monday, 21 Sep  2020, 18:45",Portimonense - Ferreira,
1599411649-3,https://www.oddsportal.com/soccer/spain/laliga/,Granada CF - Alaves,https://www.oddsportal.com/soccer/spain/laliga/granada-cf-alaves-lbvPMyjt/,LaLiga,"Sunday, 20 Sep  2020, 16:30",Granada CF - Alaves,
1599411792-19,https://www.oddsportal.com/soccer/europe/champions-league/,Gent (Bel)  - Rapid Vienna (Aut),https://www.oddsportal.com/soccer/europe/champions-league/gent-rapid-vienna-MPV94hbo/,Champions League,"Tuesday, 15 Sep  2020, 18:30",Gent (Bel)  - Rapid Vienna (Aut),
1599413051-158,https://www.oddsportal.com/soccer/england/premier-league/,Manchester Utd - Crystal Palace,https://www.oddsportal.com/soccer/england/premier-league/manchester-united-crystal-palace-CdJGY5o2/,Premier League,"Saturday, 19 Sep  2020, 16:30",Manchester Utd - Crystal Palace,
1599412757-125,https://www.oddsportal.com/soccer/france/ligue-1/,Lyon - Nimes,https://www.oddsportal.com/soccer/france/ligue-1/lyon-nimes-fcnV4oeb/,Ligue 1,"Friday, 18 Sep  2020, 19:00",Lyon - Nimes,
1599412236-68,https://www.oddsportal.com/soccer/usa/mls/,Vancouver Whitecaps - Toronto FC,https://www.oddsportal.com/soccer/usa/mls/vancouver-whitecaps-toronto-fc-C8mUYRx5/,MLS,"Today, 06 Sep  2020, 01:30",Vancouver Whitecaps - Toronto FC,Final result
1599411951-36,https://www.oddsportal.com/soccer/russia/premier-league/,FK Rostov - R. Volgograd,https://www.oddsportal.com/soccer/russia/premier-league/fk-rostov-r-volgograd-WtINKwbI/,Premier League,"Saturday, 19 Sep  2020, 16:00",FK Rostov - R. Volgograd,
1599413135-168,https://www.oddsportal.com/soccer/england/premier-league/,Crystal Palace - Southampton,https://www.oddsportal.com/soccer/england/premier-league/crystal-palace-southampton-hE9hrJIb/,Premier League,"Saturday, 12 Sep  2020, 14:00",Crystal Palace - Southampton,
1599412967-149,https://www.oddsportal.com/soccer/england/championship/,Wycombe - Rotherham,https://www.oddsportal.com/soccer/england/championship/wycombe-rotherham-fHrUvlMF/,Championship,"Saturday, 12 Sep  2020, 11:30",Wycombe - Rotherham,
1599413009-153,https://www.oddsportal.com/soccer/england/premier-league/,Chelsea - Liverpool,https://www.oddsportal.com/soccer/england/premier-league/chelsea-liverpool-pr3zgzXG/,Premier League,"Sunday, 20 Sep  2020, 15:30",Chelsea - Liverpool,
1599412119-54,https://www.oddsportal.com/soccer/usa/mls/,Real Salt Lake - Los Angeles FC,https://www.oddsportal.com/soccer/usa/mls/real-salt-lake-los-angeles-fc-I9d1X4OG/,MLS,"Thursday, 10 Sep  2020, 01:30",Real Salt Lake - Los Angeles FC,
1599412606-108,https://www.oddsportal.com/soccer/italy/serie-a/,Lazio - Atalanta,https://www.oddsportal.com/soccer/italy/serie-a/lazio-atalanta-jHysaL7f/,Serie A,"Wednesday, 30 Sep  2020, 18:00",Lazio - Atalanta,
1599412387-84,https://www.oddsportal.com/soccer/germany/bundesliga/,Bayer Leverkusen - RB Leipzig,https://www.oddsportal.com/soccer/germany/bundesliga/bayer-leverkusen-rb-leipzig-AmoFtrFK/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",Bayer Leverkusen - RB Leipzig,
1599412925-144,https://www.oddsportal.com/soccer/england/championship/,Derby - Reading,https://www.oddsportal.com/soccer/england/championship/derby-reading-S43VJnpj/,Championship,"Saturday, 12 Sep  2020, 14:00",Derby - Reading,
1599412437-90,https://www.oddsportal.com/soccer/germany/bundesliga/,RB Leipzig - Mainz,https://www.oddsportal.com/soccer/germany/bundesliga/rb-leipzig-mainz-AZ5tSr0R/,Bundesliga,"Sunday, 20 Sep  2020, 13:30",RB Leipzig - Mainz,
1599412295-74,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Heracles - Den Haag,https://www.oddsportal.com/soccer/netherlands/eredivisie/heracles-den-haag-2aZ0TM5t/,Eredivisie,"Sunday, 13 Sep  2020, 12:30",Heracles - Den Haag,
1599412161-59,https://www.oddsportal.com/soccer/usa/mls/,Los Angeles Galaxy - Los Angeles FC,https://www.oddsportal.com/soccer/usa/mls/los-angeles-galaxy-los-angeles-fc-6DqfKrRo/,MLS,"Tomorrow, 07 Sep  2020, 02:30",Los Angeles Galaxy - Los Angeles FC,
1599412010-43,https://www.oddsportal.com/soccer/russia/premier-league/,Dynamo Moscow - Rubin Kazan,https://www.oddsportal.com/soccer/russia/premier-league/dynamo-moscow-rubin-kazan-vR3EOLbg/,Premier League,"Sunday, 13 Sep  2020, 13:30",Dynamo Moscow - Rubin Kazan,
1599412018-44,https://www.oddsportal.com/soccer/russia/premier-league/,Akhmat Grozny - Sochi,https://www.oddsportal.com/soccer/russia/premier-league/akhmat-grozny-pfc-sochi-W006QsUt/,Premier League,"Saturday, 12 Sep  2020, 16:00",Akhmat Grozny - Sochi,
1599411968-38,https://www.oddsportal.com/soccer/russia/premier-league/,Krasnodar - Khimki,https://www.oddsportal.com/soccer/russia/premier-league/krasnodar-khimki-ppMRJcDO/,Premier League,"Friday, 18 Sep  2020, 17:00",Krasnodar - Khimki,
1599411682-7,https://www.oddsportal.com/soccer/spain/laliga/,Getafe - Osasuna,https://www.oddsportal.com/soccer/spain/laliga/getafe-osasuna-nkhcRHsP/,LaLiga,"Friday, 18 Sep  2020, 19:00",Getafe - Osasuna,
1599412094-52,https://www.oddsportal.com/soccer/scotland/premiership/,Aberdeen - Kilmarnock,https://www.oddsportal.com/soccer/scotland/premiership/aberdeen-kilmarnock-2LMveWkk/,Premiership,"Saturday, 12 Sep  2020, 14:00",Aberdeen - Kilmarnock,
1599413001-152,https://www.oddsportal.com/soccer/england/premier-league/,Wolves - Manchester City,https://www.oddsportal.com/soccer/england/premier-league/wolves-manchester-city-MR07eThF/,Premier League,"Monday, 21 Sep  2020, 19:00",Wolves - Manchester City,
1599412446-91,https://www.oddsportal.com/soccer/germany/bundesliga/,Dortmund - B. Monchengladbach,https://www.oddsportal.com/soccer/germany/bundesliga/dortmund-b-monchengladbach-SAGyTOpL/,Bundesliga,"Saturday, 19 Sep  2020, 16:30",Dortmund - B. Monchengladbach,
1599412270-71,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Waalwijk - Vitesse,https://www.oddsportal.com/soccer/netherlands/eredivisie/waalwijk-vitesse-WYw5StLn/,Eredivisie,"Sunday, 13 Sep  2020, 14:45",Waalwijk - Vitesse,
1599412219-66,https://www.oddsportal.com/soccer/usa/mls/,DC United - New York City,https://www.oddsportal.com/soccer/usa/mls/dc-united-new-york-city-x84YrwC8/,MLS,"Today, 06 Sep  2020, 23:00",DC United - New York City,
1599412909-142,https://www.oddsportal.com/soccer/england/championship/,Millwall - Stoke,https://www.oddsportal.com/soccer/england/championship/millwall-stoke-city-KbjHsjxc/,Championship,"Saturday, 12 Sep  2020, 14:00",Millwall - Stoke,
1599412052-47,https://www.oddsportal.com/soccer/scotland/premiership/,St. Mirren - Hibernian,https://www.oddsportal.com/soccer/scotland/premiership/st-mirren-hibernian-UX1wGXRE/,Premiership,"Saturday, 12 Sep  2020, 14:00",St. Mirren - Hibernian,
1599412664-115,https://www.oddsportal.com/soccer/italy/serie-a/,Verona - AS Roma,https://www.oddsportal.com/soccer/italy/serie-a/verona-as-roma-htMuKMqK/,Serie A,"Saturday, 19 Sep  2020, 18:45",Verona - AS Roma,
1599412479-95,https://www.oddsportal.com/soccer/germany/bundesliga/,Eintracht Frankfurt - Arminia Bielefeld,https://www.oddsportal.com/soccer/germany/bundesliga/eintracht-frankfurt-arminia-bielefeld-QaBBMMNl/,Bundesliga,"Saturday, 19 Sep  2020, 13:30",Eintracht Frankfurt - Arminia Bielefeld,
1599412546-102,https://www.oddsportal.com/soccer/portugal/primeira-liga/,FC Porto - Braga,https://www.oddsportal.com/soccer/portugal/primeira-liga/fc-porto-braga-YkK0HNOa/,Primeira Liga,"Saturday, 19 Sep  2020, 20:00",FC Porto - Braga,
1599412934-145,https://www.oddsportal.com/soccer/england/championship/,Cardiff - Sheffield Wed,https://www.oddsportal.com/soccer/england/championship/cardiff-sheffield-wed-OE5x9Btf/,Championship,"Saturday, 12 Sep  2020, 14:00",Cardiff - Sheffield Wed,
1599413110-165,https://www.oddsportal.com/soccer/england/premier-league/,West Brom - Leicester,https://www.oddsportal.com/soccer/england/premier-league/west-brom-leicester-j9iuZEuo/,Premier League,"Sunday, 13 Sep  2020, 13:00",West Brom - Leicester,
1599412833-134,https://www.oddsportal.com/soccer/france/ligue-1/,Angers - Reims,https://www.oddsportal.com/soccer/france/ligue-1/angers-reims-61XMCuhq/,Ligue 1,"Sunday, 13 Sep  2020, 13:00",Angers - Reims,
1599412421-88,https://www.oddsportal.com/soccer/germany/bundesliga/,Hertha Berlin - Eintracht Frankfurt,https://www.oddsportal.com/soccer/germany/bundesliga/hertha-berlin-eintracht-frankfurt-bDVlzthl/,Bundesliga,"Friday, 25 Sep  2020, 18:30",Hertha Berlin - Eintracht Frankfurt,
1599412782-128,https://www.oddsportal.com/soccer/france/ligue-1/,Montpellier - Lyon,https://www.oddsportal.com/soccer/france/ligue-1/montpellier-lyon-O0bRho1A/,Ligue 1,"Tuesday, 15 Sep  2020, 19:00",Montpellier - Lyon,
1599412740-123,https://www.oddsportal.com/soccer/france/ligue-1/,Rennes - Monaco,https://www.oddsportal.com/soccer/france/ligue-1/rennes-monaco-nD0v13fN/,Ligue 1,"Saturday, 19 Sep  2020, 19:00",Rennes - Monaco,
1599412454-92,https://www.oddsportal.com/soccer/germany/bundesliga/,Werder Bremen - Hertha Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-hertha-berlin-0I3OJK77/,Bundesliga,"Saturday, 19 Sep  2020, 13:30",Werder Bremen - Hertha Berlin,
1599411724-12,https://www.oddsportal.com/soccer/spain/laliga/,Cadiz CF - Osasuna,https://www.oddsportal.com/soccer/spain/laliga/cadiz-osasuna-MmbZ5nfJ/,LaLiga,"Saturday, 12 Sep  2020, 19:00",Cadiz CF - Osasuna,
1599412060-48,https://www.oddsportal.com/soccer/scotland/premiership/,Ross County - Celtic,https://www.oddsportal.com/soccer/scotland/premiership/ross-county-celtic-js3ZGDC8/,Premiership,"Saturday, 12 Sep  2020, 14:00",Ross County - Celtic,
1599411808-21,https://www.oddsportal.com/soccer/europe/champions-league/,Qarabag (Aze)  - Molde (Nor),https://www.oddsportal.com/soccer/europe/champions-league/qarabag-agdam-molde-Ii5Te0fo/,Champions League,"Tuesday, 15 Sep  2020, 17:00",Qarabag (Aze)  - Molde (Nor),
1599412563-104,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Nacional - Boavista,https://www.oddsportal.com/soccer/portugal/primeira-liga/nacional-boavista-thuMO5WP/,Primeira Liga,"Saturday, 19 Sep  2020, 15:00",Nacional - Boavista,
1599412128-55,https://www.oddsportal.com/soccer/usa/mls/,Colorado Rapids - Houston Dynamo,https://www.oddsportal.com/soccer/usa/mls/colorado-rapids-houston-dynamo-IsI18N9s/,MLS,"Thursday, 10 Sep  2020, 01:00",Colorado Rapids - Houston Dynamo,
1599412951-147,https://www.oddsportal.com/soccer/england/championship/,Bournemouth - Blackburn,https://www.oddsportal.com/soccer/england/championship/bournemouth-blackburn-pp06P8MS/,Championship,"Saturday, 12 Sep  2020, 14:00",Bournemouth - Blackburn,
1599412959-148,https://www.oddsportal.com/soccer/england/championship/,Barnsley - Luton,https://www.oddsportal.com/soccer/england/championship/barnsley-luton-xKdbRUiG/,Championship,"Saturday, 12 Sep  2020, 14:00",Barnsley - Luton,
1599412656-114,https://www.oddsportal.com/soccer/italy/serie-a/,Parma - Napoli,https://www.oddsportal.com/soccer/italy/serie-a/parma-napoli-bsukcax7/,Serie A,"Sunday, 20 Sep  2020, 10:30",Parma - Napoli,
1599411766-16,https://www.oddsportal.com/soccer/europe/champions-league/,Maccabi Tel Aviv (Isr)  - Dynamo Brest (Blr),https://www.oddsportal.com/soccer/europe/champions-league/maccabi-tel-aviv-dynamo-brest-tWD10tnU/,Champions League,"Wednesday, 16 Sep  2020, 17:00",Maccabi Tel Aviv (Isr)  - Dynamo Brest (Blr),
1599412412-87,https://www.oddsportal.com/soccer/germany/bundesliga/,Arminia Bielefeld - FC Koln,https://www.oddsportal.com/soccer/germany/bundesliga/arminia-bielefeld-1-fc-koln-ShN5WciD/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",Arminia Bielefeld - FC Koln,
1599411842-24,https://www.oddsportal.com/soccer/europe/europa-league/,TSC Backa Topola (Srb)  - FCSB (Rou),https://www.oddsportal.com/soccer/europe/europa-league/tsc-backa-topola-fcsb-jPs8SsOg/,Europa League,"Thursday, 17 Sep  2020, 19:00",TSC Backa Topola (Srb)  - FCSB (Rou),
1599413060-159,https://www.oddsportal.com/soccer/england/premier-league/,Leicester - Burnley,https://www.oddsportal.com/soccer/england/premier-league/leicester-burnley-Y5KCZoWe/,Premier League,"Saturday, 19 Sep  2020, 14:00",Leicester - Burnley,
1599412311-76,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Twente - Sittard,https://www.oddsportal.com/soccer/netherlands/eredivisie/twente-sittard-pr5nAa5I/,Eredivisie,"Saturday, 12 Sep  2020, 19:00",Twente - Sittard,
1599411859-26,https://www.oddsportal.com/soccer/europe/europa-league/,Piast Gliwice (Pol)  - Hartberg (Aut),https://www.oddsportal.com/soccer/europe/europa-league/piast-gliwice-hartberg-8M5XiJ82/,Europa League,"Thursday, 17 Sep  2020, 18:00",Piast Gliwice (Pol)  - Hartberg (Aut),
1599412169-60,https://www.oddsportal.com/soccer/usa/mls/,Seattle Sounders - Portland Timbers,https://www.oddsportal.com/soccer/usa/mls/seattle-sounders-portland-timbers-4pNO43Rb/,MLS,"Tomorrow, 07 Sep  2020, 02:00",Seattle Sounders - Portland Timbers,
1599412976-150,https://www.oddsportal.com/soccer/england/championship/,Birmingham - Brentford,https://www.oddsportal.com/soccer/england/championship/birmingham-brentford-jN02Ql7M/,Championship,"Saturday, 12 Sep  2020, 11:30",Birmingham - Brentford,
1599413127-167,https://www.oddsportal.com/soccer/england/premier-league/,West Ham - Newcastle,https://www.oddsportal.com/soccer/england/premier-league/west-ham-newcastle-utd-hEVNcbIo/,Premier League,"Saturday, 12 Sep  2020, 14:00",West Ham - Newcastle,
