HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Nantes,Nimes,Ligue_1,2020-08-30,2,1,2.16,0.87,8,17,5,9,1,8,16.71,5.96,2.36,0.46
FK Akhmat,FC Rotor Volgograd,RFPL,2020-08-19,3,1,3.2,0.58,25,7,9,3,11,1,6.87,15.17,2.84,0.1
Saint-Etienne,Rennes,Ligue_1,2020-09-26,0,3,0.2,1.37,6,10,4,6,4,4,18.39,11.48,0.36,2.4
Crystal Palace,Southampton,Premier_League,2020-09-12,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
Getafe,Osasuna,La_Liga,2020-09-19,1,0,0.7,0.49,7,10,1,3,2,3,6.17,12.5,1.54,1.05
RasenBallsport Leipzig,Mainz 05,Bundesliga,2020-09-20,3,1,3.23,1.07,23,9,10,1,14,2,6.19,29.59,2.63,0.25
FC Ufa,Dinamo Moscow,RFPL,2020-08-30,1,1,0.56,0.58,7,11,2,6,6,5,16.39,11.57,1.3,1.28
Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
FC Ufa,FC Krasnodar,RFPL,2020-08-09,0,3,0.32,2.15,5,24,2,11,5,14,24.14,4.96,0.16,2.74
Real Valladolid,Celta Vigo,La_Liga,2020-09-27,1,1,1.52,1.08,10,5,4,1,3,3,4.08,6.58,1.73,0.96
Real Betis,Real Madrid,La_Liga,2020-09-26,2,3,1.41,3.86,15,11,5,4,5,7,15.68,10.25,0.19,2.73
Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
Ural,FC Krasnodar,RFPL,2020-08-22,1,0,1.24,1.35,12,15,4,6,4,9,24.0,8.71,1.26,1.45
Brighton,Chelsea,Premier_League,2020-09-14,1,3,1.44,1.27,13,10,3,5,3,6,9.34,12.7,1.48,1.21
FC Krasnodar,Khimki,RFPL,2020-09-18,7,2,5.32,0.98,28,6,16,2,25,2,7.17,21.0,2.97,0.02
Ural,Dinamo Moscow,RFPL,2020-08-10,0,2,0.96,1.87,14,15,2,7,4,10,19.08,12.5,0.68,2.08
Hoffenheim,Bayern Munich,Bundesliga,2020-09-27,4,1,2.52,1.17,17,16,8,4,6,11,13.12,5.82,2.31,0.52
Arsenal Tula,FC Ufa,RFPL,2020-08-14,2,3,0.7,1.39,18,6,7,4,9,3,7.25,9.32,0.7,2.03
Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
Napoli,Genoa,Serie_A,2020-09-27,6,0,2.34,0.27,18,6,9,0,6,2,12.84,37.92,2.74,0.16
Bordeaux,Lyon,Ligue_1,2020-09-11,0,0,0.23,1.8,5,20,0,3,2,13,15.88,5.15,0.26,2.57
PFC Sochi,Khimki,RFPL,2020-08-14,1,1,1.08,1.24,15,13,5,5,5,5,12.06,11.0,1.19,1.51
Lens,Paris Saint Germain,Ligue_1,2020-09-10,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
Parma Calcio 1913,Napoli,Serie_A,2020-09-20,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
PFC Sochi,Rubin Kazan,RFPL,2020-08-18,3,2,1.69,2.17,11,18,6,7,4,3,15.81,8.44,1.05,1.7
Chelsea,Liverpool,Premier_League,2020-09-20,0,2,0.92,2.69,5,18,3,6,1,14,40.9,11.44,0.37,2.44
Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
Reims,Lille,Ligue_1,2020-08-30,0,1,0.21,0.91,4,10,0,3,0,0,10.81,16.39,0.59,2.04
Nice,Paris Saint Germain,Ligue_1,2020-09-20,0,3,0.93,3.33,14,14,5,6,6,11,25.15,15.13,0.13,2.8
Lokomotiv Moscow,FC Tambov,RFPL,2020-09-20,1,0,1.21,0.18,11,5,6,2,5,4,8.35,12.89,2.35,0.39
Khimki,CSKA Moscow,RFPL,2020-08-08,0,2,0.6,1.97,18,14,4,3,6,21,21.23,11.44,0.41,2.42
Dijon,Montpellier,Ligue_1,2020-09-27,2,2,1.61,2.31,15,14,6,5,7,6,9.67,8.84,0.89,1.88
Bordeaux,Nantes,Ligue_1,2020-08-21,0,0,0.6,0.19,5,6,1,1,0,2,24.46,13.0,1.86,0.7
SD Huesca,Cadiz,La_Liga,2020-09-20,0,2,0.22,1.51,4,6,0,4,0,1,3.68,12.0,0.18,2.69
FC Rostov,Zenit St. Petersburg,RFPL,2020-08-15,0,2,0.6,1.68,19,14,4,6,6,9,11.95,6.07,0.43,2.36
Brest,Marseille,Ligue_1,2020-08-30,2,3,2.13,1.32,19,7,4,4,11,3,6.34,14.33,1.99,0.77
Paris Saint Germain,Metz,Ligue_1,2020-09-16,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
Udinese,Spezia,Serie_A,2020-09-30,0,2,1.87,0.81,13,4,3,2,11,0,14.13,12.94,2.21,0.56
Rubin Kazan,Spartak Moscow,RFPL,2020-09-20,0,2,1.69,0.31,23,6,7,1,15,4,7.35,5.82,2.45,0.35
