HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Arsenal Tula,Ural,RFPL,2020-10-18,1,0,0.62,0.51,9,11,1,4,7,8,8.2,9.05,1.38,1.19
Newcastle United,Brighton,Premier_League,2020-09-20,0,3,0.52,1.88,6,13,0,6,3,3,11.95,10.84,0.31,2.51
Eibar,Osasuna,La_Liga,2020-10-18,0,0,0.37,1.26,10,8,6,2,3,6,10.38,6.0,0.53,2.21
West Ham,Manchester City,Premier_League,2020-10-24,1,1,0.26,0.89,6,14,2,7,2,13,20.3,13.08,0.68,1.94
Lazio,Inter,Serie_A,2020-10-04,1,1,1.21,0.72,12,12,4,3,1,8,11.92,9.42,1.77,0.93
Fulham,Crystal Palace,Premier_League,2020-10-24,1,2,1.05,2.81,16,14,3,10,8,9,6.24,21.53,0.33,2.54
Zenit St. Petersburg,FC Ufa,RFPL,2020-09-26,6,0,2.82,0.46,23,6,8,4,16,5,31.57,32.27,2.79,0.13
Bayer Leverkusen,Augsburg,Bundesliga,2020-10-26,3,1,2.63,0.34,16,6,8,3,6,3,7.5,19.88,2.85,0.09
West Bromwich Albion,Chelsea,Premier_League,2020-09-26,3,3,0.91,2.36,9,22,3,10,3,12,40.82,4.52,0.41,2.42
Parma Calcio 1913,Napoli,Serie_A,2020-09-20,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
Bayer Leverkusen,RasenBallsport Leipzig,Bundesliga,2020-09-26,1,1,0.91,1.2,11,7,4,2,5,3,6.77,12.48,1.08,1.59
Parma Calcio 1913,Spezia,Serie_A,2020-10-25,2,2,3.67,0.97,17,14,6,6,6,6,12.91,8.84,2.79,0.15
Strasbourg,Lille,Ligue_1,2020-10-04,0,3,0.84,1.96,14,12,3,6,10,8,11.86,10.22,0.52,2.28
Borussia Dortmund,Schalke 04,Bundesliga,2020-10-24,3,0,1.48,0.24,18,3,7,0,16,1,9.29,18.08,2.4,0.38
Athletic Club,Levante,La_Liga,2020-10-18,2,0,2.07,0.28,14,6,5,1,9,5,7.12,10.58,2.73,0.16
Fiorentina,Torino,Serie_A,2020-09-19,1,0,2.35,0.62,16,6,5,3,9,2,9.47,6.86,2.62,0.25
Barcelona,Real Madrid,La_Liga,2020-10-24,1,3,1.57,3.21,10,15,4,9,5,8,11.75,13.5,0.43,2.42
Lokomotiv Moscow,FK Akhmat,RFPL,2020-08-26,2,3,1.93,1.24,17,10,5,5,11,9,5.91,9.12,1.91,0.84
Zenit St. Petersburg,CSKA Moscow,RFPL,2020-08-19,2,1,1.18,0.68,16,13,7,4,22,7,12.43,15.79,1.78,0.91
PFC Sochi,Rubin Kazan,RFPL,2020-08-18,3,2,1.69,2.17,11,18,6,7,4,3,15.81,8.44,1.05,1.7
Osasuna,Athletic Club,La_Liga,2020-10-24,1,0,0.99,0.58,7,13,2,5,3,5,11.04,6.59,1.83,0.83
Napoli,Atalanta,Serie_A,2020-10-17,4,1,1.17,0.64,19,13,11,4,7,1,16.16,7.53,1.79,0.9
Rennes,Montpellier,Ligue_1,2020-08-29,2,1,1.79,0.49,16,11,7,3,7,2,5.11,13.27,2.35,0.45
Montpellier,Reims,Ligue_1,2020-10-25,0,4,0.14,4.33,5,24,1,9,0,15,51.38,13.0,0.0,3.0
Lens,Saint-Etienne,Ligue_1,2020-10-03,2,0,2.13,0.09,13,2,5,1,8,0,3.1,22.0,2.86,0.08
Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
Udinese,Parma Calcio 1913,Serie_A,2020-10-18,3,2,1.72,0.97,16,9,4,3,9,3,11.34,10.89,1.95,0.79
Saint-Etienne,Nice,Ligue_1,2020-10-18,1,3,0.71,2.52,11,11,4,5,2,5,8.75,13.1,0.2,2.69
Arsenal Tula,Khimki,RFPL,2020-08-25,1,1,1.39,0.29,27,3,4,2,8,1,7.2,11.2,2.28,0.46
Torino,Cagliari,Serie_A,2020-10-18,2,3,1.24,1.79,13,11,6,5,4,3,8.12,15.67,0.81,1.89
FC Rostov,Zenit St. Petersburg,RFPL,2020-08-15,0,2,0.6,1.68,19,14,4,6,6,9,11.95,6.07,0.43,2.36
AC Milan,Spezia,Serie_A,2020-10-04,3,0,2.65,0.15,17,4,5,2,11,1,6.32,14.64,2.93,0.04
FC Tambov,PFC Sochi,RFPL,2020-08-25,0,1,0.7,2.17,11,16,1,6,2,5,24.36,14.12,0.31,2.54
Rubin Kazan,Lokomotiv Moscow,RFPL,2020-08-11,0,2,1.53,1.17,14,12,3,5,3,9,18.65,9.22,1.68,1.02
Sheffield United,Leeds,Premier_League,2020-09-27,0,1,1.53,1.47,15,17,5,9,11,2,11.55,8.94,1.45,1.28
FC Tambov,Khimki,RFPL,2020-08-18,1,0,1.33,0.67,5,20,2,3,0,5,14.25,8.22,2.04,0.68
CSKA Moscow,Rubin Kazan,RFPL,2020-08-22,1,2,0.87,0.92,20,14,7,6,8,7,8.83,13.12,1.29,1.38
Bologna,Sassuolo,Serie_A,2020-10-18,3,4,1.45,3.24,14,25,6,12,6,10,6.29,7.6,0.44,2.43
Celta Vigo,Barcelona,La_Liga,2020-10-01,0,3,0.57,0.93,10,7,3,4,5,7,7.65,11.28,0.92,1.72
Lokomotiv Moscow,FC Ufa,RFPL,2020-10-17,1,0,0.94,0.12,12,2,5,0,6,3,12.42,11.73,2.18,0.47
Arsenal Tula,FC Rostov,RFPL,2020-09-27,2,3,0.79,1.78,15,8,4,5,4,1,4.0,10.93,0.56,2.22
Real Sociedad,Valencia,La_Liga,2020-09-29,0,1,0.59,0.84,11,9,3,5,12,4,7.19,11.33,1.01,1.61
Zenit St. Petersburg,FC Tambov,RFPL,2020-08-22,4,1,3.73,0.3,25,6,10,4,13,2,8.62,29.44,2.96,0.03
Liverpool,Sheffield United,Premier_League,2020-10-24,2,1,2.4,1.4,17,13,5,2,7,8,14.17,19.65,2.17,0.62
Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
Osasuna,Celta Vigo,La_Liga,2020-10-04,2,0,1.12,0.36,13,9,5,3,6,8,7.14,5.52,2.11,0.59
Lyon,Marseille,Ligue_1,2020-10-04,1,1,3.14,0.38,24,3,3,1,13,2,7.0,21.3,2.89,0.06
Torino,Atalanta,Serie_A,2020-09-26,2,4,0.77,2.47,7,19,4,7,3,14,11.72,10.8,0.35,2.49
Aston Villa,Leeds,Premier_League,2020-10-23,0,3,1.5,2.38,12,27,4,9,7,20,13.24,3.65,0.82,1.97
Southampton,Tottenham,Premier_League,2020-09-20,2,5,2.28,2.28,14,9,7,6,4,3,8.67,10.78,1.34,1.39
Chelsea,Crystal Palace,Premier_League,2020-10-03,4,0,2.51,0.1,17,4,6,0,5,2,4.45,25.88,2.93,0.04
Barcelona,Sevilla,La_Liga,2020-10-04,1,1,1.06,1.26,12,13,5,1,3,2,15.83,11.21,1.16,1.53
Real Madrid,Cadiz,La_Liga,2020-10-17,0,1,1.14,1.77,14,14,2,5,10,2,6.5,23.57,0.9,1.84
Montpellier,Angers,Ligue_1,2020-09-20,4,1,1.94,0.77,14,14,9,3,4,5,17.95,17.17,2.25,0.55
FC Tambov,FC Ufa,RFPL,2020-09-12,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
Levante,Real Madrid,La_Liga,2020-10-04,0,2,0.58,1.88,11,13,4,3,6,13,10.19,7.82,0.42,2.4
Metz,Reims,Ligue_1,2020-09-20,2,1,1.71,1.18,14,10,4,4,3,6,4.76,14.25,1.84,0.86
Fiorentina,Udinese,Serie_A,2020-10-25,3,2,1.2,2.69,5,16,3,6,5,8,12.4,6.4,0.36,2.47
Ural,Lokomotiv Moscow,RFPL,2020-08-19,1,1,0.58,2.72,5,21,1,8,4,10,15.36,17.67,0.18,2.73
Hoffenheim,Borussia Dortmund,Bundesliga,2020-10-17,0,1,0.88,1.85,9,15,3,5,3,15,13.63,10.96,0.66,2.11
FC Ufa,CSKA Moscow,RFPL,2020-09-20,0,1,0.37,2.52,12,23,3,10,2,15,10.57,7.59,0.17,2.73
Dijon,Rennes,Ligue_1,2020-10-16,1,1,1.11,0.77,12,12,4,3,2,8,10.45,8.22,1.66,1.02
Angers,Brest,Ligue_1,2020-09-27,3,2,1.12,2.36,12,14,5,6,3,7,8.5,7.75,0.54,2.27
Villarreal,Eibar,La_Liga,2020-09-19,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
Sheffield United,Wolverhampton Wanderers,Premier_League,2020-09-14,0,2,0.95,1.61,9,11,2,4,10,3,8.23,31.33,0.8,1.91
Bordeaux,Lyon,Ligue_1,2020-09-11,0,0,0.23,1.8,5,20,0,3,2,13,15.88,5.15,0.26,2.57
Sheffield United,Fulham,Premier_League,2020-10-18,1,1,1.66,1.36,10,15,6,6,1,1,15.17,12.71,1.63,1.05
Ural,Zenit St. Petersburg,RFPL,2020-09-19,1,1,0.6,1.49,8,18,2,6,8,5,10.75,14.74,0.64,2.09
Tottenham,Everton,Premier_League,2020-09-13,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
Bayern Munich,Eintracht Frankfurt,Bundesliga,2020-10-24,5,0,3.81,0.43,20,8,9,2,12,1,10.0,16.91,2.92,0.05
Chelsea,Southampton,Premier_League,2020-10-17,3,3,1.99,1.42,11,13,5,6,11,5,10.91,14.61,1.84,0.88
FC Cologne,Borussia M.Gladbach,Bundesliga,2020-10-03,1,3,0.24,2.06,8,15,2,11,2,12,12.94,7.06,0.16,2.73
Benevento,Napoli,Serie_A,2020-10-25,1,2,0.65,2.27,9,19,3,5,4,11,17.3,6.31,0.35,2.49
Atletico Madrid,Real Betis,La_Liga,2020-10-24,2,0,1.24,1.02,13,12,6,3,8,5,10.97,7.0,1.51,1.18
