HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Real Sociedad,Valencia,La_Liga,2020-09-29,0,1,0.59,0.84,11,9,3,5,12,4,7.19,11.33,1.01,1.61
Nantes,Saint-Etienne,Ligue_1,2020-09-20,2,2,1.34,1.04,15,6,3,4,8,3,8.0,10.55,1.56,1.05
Villarreal,Alaves,La_Liga,2020-09-30,3,1,2.66,0.62,10,8,6,3,6,3,7.47,10.88,2.79,0.13
Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
Werder Bremen,Hertha Berlin,Bundesliga,2020-09-19,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
Zenit St. Petersburg,Arsenal Tula,RFPL,2020-09-14,3,1,3.11,0.44,22,14,5,4,10,3,12.78,13.74,2.84,0.1
Southampton,Tottenham,Premier_League,2020-09-20,2,5,2.28,2.28,14,9,7,6,4,3,8.67,10.78,1.34,1.39
SD Huesca,Atletico Madrid,La_Liga,2020-09-30,0,0,0.63,1.79,9,16,3,2,3,11,15.43,8.91,0.49,2.31
FC Krasnodar,Khimki,RFPL,2020-09-18,7,2,5.32,0.98,28,6,16,2,25,2,7.17,21.0,2.97,0.02
Verona,Roma,Serie_A,2020-09-19,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
Lyon,Nimes,Ligue_1,2020-09-18,0,0,1.63,0.71,15,10,3,3,10,2,2.91,13.52,2.15,0.61
Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
Getafe,Osasuna,La_Liga,2020-09-19,1,0,0.7,0.49,7,10,1,3,2,3,6.17,12.5,1.54,1.05
Juventus,Sampdoria,Serie_A,2020-09-20,3,0,2.14,0.61,20,15,8,1,10,1,6.79,21.65,2.55,0.3
Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
FC Cologne,Hoffenheim,Bundesliga,2020-09-19,2,3,2.41,2.9,13,13,6,7,5,10,11.91,11.54,0.99,1.76
Benevento,Inter,Serie_A,2020-09-30,2,5,1.25,4.53,11,18,6,8,2,12,21.35,7.32,0.06,2.9
Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
Villarreal,Eibar,La_Liga,2020-09-19,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
Arsenal,West Ham,Premier_League,2020-09-19,2,1,1.33,2.06,7,14,3,3,16,4,12.76,18.26,0.82,1.94
Manchester United,Crystal Palace,Premier_League,2020-09-19,1,3,1.1,1.91,17,14,4,5,9,4,3.31,13.59,0.75,2.02
Getafe,Real Betis,La_Liga,2020-09-29,3,0,0.91,0.44,8,10,4,2,1,3,13.84,3.58,1.81,0.83
Lens,Bordeaux,Ligue_1,2020-09-19,2,1,3.02,0.36,19,7,5,3,6,2,10.0,11.76,2.87,0.08
