HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
Sassuolo,Cagliari,Serie_A,2020-09-20,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
Eibar,Celta Vigo,La_Liga,2020-09-12,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
Paris Saint Germain,Marseille,Ligue_1,2020-09-13,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
Lens,Paris Saint Germain,Ligue_1,2020-09-10,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
Eintracht Frankfurt,Arminia Bielefeld,Bundesliga,2020-09-19,1,1,2.47,0.62,18,13,6,4,9,2,6.77,12.44,2.65,0.23
Genoa,Crotone,Serie_A,2020-09-20,4,1,2.23,1.32,14,13,6,3,4,4,8.94,9.42,2.04,0.75
Bayern Munich,Schalke 04,Bundesliga,2020-09-18,8,0,4.62,0.15,21,5,12,1,24,3,6.34,25.33,2.99,0.01
Parma Calcio 1913,Napoli,Serie_A,2020-09-20,0,2,0.16,1.54,6,17,2,6,7,7,19.42,12.17,0.16,2.72
RasenBallsport Leipzig,Mainz 05,Bundesliga,2020-09-20,3,1,3.23,1.07,23,9,10,1,14,2,6.19,29.59,2.63,0.25
FK Akhmat,PFC Sochi,RFPL,2020-09-12,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
AC Milan,Bologna,Serie_A,2020-09-21,2,0,2.94,0.83,17,13,5,4,6,3,9.26,13.5,2.67,0.23
VfB Stuttgart,Freiburg,Bundesliga,2020-09-19,2,3,2.16,2.07,26,7,7,6,12,4,7.62,12.11,1.41,1.35
West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
Crystal Palace,Southampton,Premier_League,2020-09-12,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
Dinamo Moscow,FK Akhmat,RFPL,2020-09-21,1,0,1.14,0.85,22,10,3,4,10,5,5.48,11.5,1.57,1.12
Union Berlin,Augsburg,Bundesliga,2020-09-19,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
Valencia,Levante,La_Liga,2020-09-13,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
Liverpool,Leeds,Premier_League,2020-09-12,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
