League,Date,Time,HT,AT
MLS,2020-09-23,2100,New England Revolution,Montreal Impact
MLS,2020-09-23,2300,Atlanta Utd,FC Dallas
MLS,2020-09-23,2300,New York City,Toronto FC
MLS,2020-09-23,2330,Sporting Kansas City,Orlando City
MLS,2020-09-23,2330,FC Cincinnati,Philadelphia Union
MLS,2020-09-23,2330,Columbus Crew,Minnesota United
MLS,2020-09-23,2330,Chicago Fire,Houston Dynamo
MLS,2020-09-24,0,Inter Miami,New York Red Bulls
MLS,2020-09-24,30,Nashville SC,DC United
MLS,2020-09-24,100,Colorado Rapids,San Jose Earthquakes
MLS,2020-09-24,130,Real Salt Lake,Los Angeles Galaxy
MLS,2020-09-24,200,Portland Timbers,Seattle Sounders
MLS,2020-09-24,230,Los Angeles FC,Vancouver Whitecaps
Eredivisie,2020-09-25,1800,Twente,Groningen
Bundesliga,2020-09-25,1830,Hertha Berlin,Eintracht Frankfurt
Championship,2020-09-25,1845,Huddersfield,Nottingham
La_Liga,2020-09-25,1900,Eibar,Ath Bilbao
Ligue_1,2020-09-25,1900,Lille,Nantes
Primeira_Liga,2020-09-25,1930,Braga,Santa Clara
RFPL,2020-09-26,1100,Tambov,Spartak Moscow
La_Liga,2020-09-26,1100,Alaves,Getafe
Championship,2020-09-26,1130,Watford,Luton
Premier_League,2020-09-26,1130,Brighton,Manchester Utd
Championship,2020-09-26,1130,Wycombe,Swansea
Serie_A,2020-09-26,1300,Torino,Atalanta
Bundesliga,2020-09-26,1330,Bayer Leverkusen,RB Leipzig
Bundesliga,2020-09-26,1330,Mainz,Stuttgart
RFPL,2020-09-26,1330,Zenit,Ufa
Bundesliga,2020-09-26,1330,B. Monchengladbach,Union Berlin
Bundesliga,2020-09-26,1330,Arminia Bielefeld,FC Koln
Bundesliga,2020-09-26,1330,Augsburg,Dortmund
Premiership,2020-09-26,1400,Hamilton,Dundee Utd
Championship,2020-09-26,1400,Derby,Blackburn
La_Liga,2020-09-26,1400,Valencia,Huesca
Premier_League,2020-09-26,1400,Crystal Palace,Everton
Premiership,2020-09-26,1400,Livingston,St Johnstone
Championship,2020-09-26,1400,Preston,Stoke
Championship,2020-09-26,1400,Cardiff,Reading
Championship,2020-09-26,1400,Millwall,Brentford
Championship,2020-09-26,1400,Birmingham,Rotherham
Premiership,2020-09-26,1400,St. Mirren,Kilmarnock
Championship,2020-09-26,1400,Barnsley,Coventry
Championship,2020-09-26,1400,QPR,Middlesbrough
Eredivisie,2020-09-26,1430,Zwolle,Sparta Rotterdam
Primeira_Liga,2020-09-26,1430,Maritimo,Tondela
Ligue_1,2020-09-26,1500,St Etienne,Rennes
Serie_A,2020-09-26,1600,Cagliari,Lazio
Serie_A,2020-09-26,1600,Sampdoria,Benevento
Premier_League,2020-09-26,1630,West Brom,Chelsea
La_Liga,2020-09-26,1630,Elche,Real Sociedad
Bundesliga,2020-09-26,1630,Schalke,Werder Bremen
Eredivisie,2020-09-26,1645,Sittard,AZ Alkmaar
RFPL,2020-09-26,1700,Sochi,Krasnodar
Primeira_Liga,2020-09-26,1730,Benfica,Moreirense
Eredivisie,2020-09-26,1800,Heerenveen,Venlo
Serie_A,2020-09-26,1845,Inter,Fiorentina
Eredivisie,2020-09-26,1900,Ajax,Vitesse
Premier_League,2020-09-26,1900,Burnley,Southampton
La_Liga,2020-09-26,1900,Betis,Real Madrid
Ligue_1,2020-09-26,1900,Marseille,Metz
MLS,2020-09-26,1930,Nashville SC,Houston Dynamo
Primeira_Liga,2020-09-26,2000,Boavista,FC Porto
MLS,2020-09-26,2300,New York City,FC Cincinnati
La_Liga,2020-09-27,1000,Osasuna,Levante
Eredivisie,2020-09-27,1015,Feyenoord,Den Haag
Serie_A,2020-09-27,1030,Spezia,Sassuolo
Premiership,2020-09-27,1100,Motherwell,Rangers
Premier_League,2020-09-27,1100,Sheffield Utd,Leeds
Ligue_1,2020-09-27,1100,Bordeaux,Nice
RFPL,2020-09-27,1100,Arsenal Tula,FK Rostov
Championship,2020-09-27,1200,Bristol City,Sheffield Wed
Eredivisie,2020-09-27,1230,Utrecht,Waalwijk
Ligue_1,2020-09-27,1300,Nimes,Lens
Ligue_1,2020-09-27,1300,Dijon,Montpellier
Ligue_1,2020-09-27,1300,Angers,Brest
Serie_A,2020-09-27,1300,Verona,Udinese
Serie_A,2020-09-27,1300,Napoli,Genoa
Ligue_1,2020-09-27,1300,Monaco,Strasbourg
Premier_League,2020-09-27,1300,Tottenham,Newcastle
Bundesliga,2020-09-27,1330,Hoffenheim,Bayern Munich
RFPL,2020-09-27,1330,Akhmat Grozny,Ural
La_Liga,2020-09-27,1400,Atl. Madrid,Granada CF
Premiership,2020-09-27,1400,Celtic,Hibernian
Premiership,2020-09-27,1400,Ross County,Aberdeen
Primeira_Liga,2020-09-27,1430,SC Farense,Nacional
Eredivisie,2020-09-27,1445,FC Emmen,Willem II
Eredivisie,2020-09-27,1445,Heracles,PSV
Primeira_Liga,2020-09-27,1500,Gil Vicente,Portimonense
Championship,2020-09-27,1500,Bournemouth,Norwich
Ligue_1,2020-09-27,1500,Lorient,Lyon
Premier_League,2020-09-27,1530,Manchester City,Leicester
Bundesliga,2020-09-27,1600,Freiburg,Wolfsburg
Serie_A,2020-09-27,1600,Crotone,AC Milan
RFPL,2020-09-27,1600,CSKA Moscow,Lokomotiv Moscow
RFPL,2020-09-27,1600,R. Volgograd,Rubin Kazan
La_Liga,2020-09-27,1630,Valladolid,Celta Vigo
Primeira_Liga,2020-09-27,1730,Ferreira,Sporting
Premier_League,2020-09-27,1800,West Ham,Wolves
Serie_A,2020-09-27,1845,AS Roma,Juventus
La_Liga,2020-09-27,1900,Barcelona,Villarreal
Ligue_1,2020-09-27,1900,Reims,Paris SG
Primeira_Liga,2020-09-27,2000,Rio Ave,Vitoria Guimaraes
MLS,2020-09-27,2300,New York Red Bulls,Montreal Impact
MLS,2020-09-27,2300,DC United,New England Revolution
MLS,2020-09-27,2330,Chicago Fire,Atlanta Utd
MLS,2020-09-27,2330,Philadelphia Union,Inter Miami
MLS,2020-09-27,2330,Toronto FC,Columbus Crew
MLS,2020-09-28,0,Minnesota United,Real Salt Lake
MLS,2020-09-28,30,FC Dallas,Orlando City
MLS,2020-09-28,100,Colorado Rapids,Sporting Kansas City
MLS,2020-09-28,200,Vancouver Whitecaps,Portland Timbers
MLS,2020-09-28,230,Los Angeles FC,San Jose Earthquakes
MLS,2020-09-28,230,Los Angeles Galaxy,Seattle Sounders
RFPL,2020-09-28,1600,Khimki,Dynamo Moscow
Premier_League,2020-09-28,1700,Fulham,Aston Villa
Primeira_Liga,2020-09-28,1845,Belenenses,Famalicao
Serie_A,2020-09-28,1845,Bologna,Parma
La_Liga,2020-09-28,1900,Cadiz CF,Sevilla
Premier_League,2020-09-28,1900,Liverpool,Arsenal
La_Liga,2020-09-30,1500,Villarreal,Alaves
La_Liga,2020-09-30,1500,Celta Vigo,Barcelona
La_Liga,2020-09-30,1500,Eibar,Elche
La_Liga,2020-09-30,1500,Sevilla,Levante
La_Liga,2020-09-30,1500,Huesca,Atl. Madrid
La_Liga,2020-09-30,1500,Granada CF,Osasuna
La_Liga,2020-09-30,1500,Getafe,Betis
La_Liga,2020-09-30,1500,Real Sociedad,Valencia
La_Liga,2020-09-30,1500,Ath Bilbao,Cadiz CF
La_Liga,2020-09-30,1500,Real Madrid,Valladolid
Serie_A,2020-09-30,1600,Udinese,Spezia
Serie_A,2020-09-30,1600,Benevento,Inter
Serie_A,2020-09-30,1845,Lazio,Atalanta
Championship,2020-10-02,1700,Coventry,Bournemouth
Eredivisie,2020-10-02,1800,Utrecht,Heerenveen
Bundesliga,2020-10-02,1830,Union Berlin,Mainz
Serie_A,2020-10-02,1845,Fiorentina,Sampdoria
Ligue_1,2020-10-02,1900,Paris SG,Angers
