League,Date,Time,HT,AT
MLS,2020-09-06,2300,DC United,New York City
MLS,2020-09-06,2300,New York Red Bulls,Philadelphia Union
MLS,2020-09-06,2330,Chicago Fire,New England Revolution
MLS,2020-09-06,2330,Columbus Crew,FC Cincinnati
MLS,2020-09-07,0,Inter Miami,Nashville SC
MLS,2020-09-07,0,Minnesota United,Real Salt Lake
MLS,2020-09-07,200,Seattle Sounders,Portland Timbers
MLS,2020-09-07,230,Los Angeles Galaxy,Los Angeles FC
MLS,2020-09-10,0,Inter Miami,Atlanta Utd
MLS,2020-09-10,0,Minnesota United,FC Dallas
MLS,2020-09-10,0,Montreal Impact,Toronto FC
MLS,2020-09-10,100,Colorado Rapids,Houston Dynamo
MLS,2020-09-10,130,Real Salt Lake,Los Angeles FC
Ligue_1,2020-09-10,1900,Lens,Paris SG
MLS,2020-09-11,200,Seattle Sounders,San Jose Earthquakes
Championship,2020-09-11,1845,Watford,Middlesbrough
Ligue_1,2020-09-11,1900,Bordeaux,Lyon
LaLiga,2020-09-11,1900,Granada CF,Ath Bilbao
Premier_League,2020-09-12,1045,Tambov,Ufa
Championship,2020-09-12,1130,Wycombe,Rotherham
Championship,2020-09-12,1130,Birmingham,Brentford
Premier_League,2020-09-12,1130,Fulham,Arsenal
Premier_League,2020-09-12,1330,Ural,Khimki
Championship,2020-09-12,1400,Preston,Swansea
Premier_League,2020-09-12,1400,Crystal Palace,Southampton
Championship,2020-09-12,1400,Derby,Reading
Premiership,2020-09-12,1400,Aberdeen,Kilmarnock
Championship,2020-09-12,1400,Millwall,Stoke
Premiership,2020-09-12,1400,St. Mirren,Hibernian
Championship,2020-09-12,1400,Cardiff,Sheffield Wed
Premiership,2020-09-12,1400,Ross County,Celtic
Championship,2020-09-12,1400,Bournemouth,Blackburn
Championship,2020-09-12,1400,Barnsley,Luton
Premier_League,2020-09-12,1400,West Ham,Newcastle
Championship,2020-09-12,1400,Bristol City,Coventry
Championship,2020-09-12,1400,QPR,Nottingham
Premiership,2020-09-12,1400,Motherwell,St Johnstone
Premiership,2020-09-12,1400,Rangers,Dundee Utd
Championship,2020-09-12,1400,Huddersfield,Norwich
Premiership,2020-09-12,1400,Livingston,Hamilton
LaLiga,2020-09-12,1400,Eibar,Celta Vigo
Eredivisie,2020-09-12,1430,Utrecht,AZ Alkmaar
Ligue_1,2020-09-12,1500,Montpellier,Nice
Premier_League,2020-09-12,1600,Akhmat Grozny,Sochi
Premier_League,2020-09-12,1630,Liverpool,Leeds
Eredivisie,2020-09-12,1645,Heerenveen,Willem II
Eredivisie,2020-09-12,1800,Zwolle,Feyenoord
LaLiga,2020-09-12,1900,Cadiz CF,Osasuna
Eredivisie,2020-09-12,1900,Twente,Sittard
Ligue_1,2020-09-12,1900,St Etienne,Strasbourg
