HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
FC Rotor Volgograd,PFC Sochi,RFPL,2020-08-22,1,2,0.65,1.54,13,17,2,8,4,8,10.24,15.21,0.64,2.11
Leganes,Sevilla,La_Liga,2020-06-30,0,3,0.76,0.71,9,11,3,6,2,3,10.12,9.87,1.38,1.24
Manchester City,Norwich,Premier_League,2020-07-26,5,0,3.57,0.79,31,5,10,4,37,2,6.6,31.0,2.79,0.14
Brighton,Manchester City,Premier_League,2020-07-11,0,5,0.15,5.52,3,26,0,8,5,14,27.06,9.6,0.0,3.0
Watford,Norwich,Premier_League,2020-07-07,2,1,0.73,1.13,9,12,4,3,6,7,11.23,9.0,0.92,1.76
Napoli,Lazio,Serie_A,2020-08-01,3,1,1.93,1.1,13,8,6,3,14,4,12.95,24.69,2.03,0.72
Norwich,West Ham,Premier_League,2020-07-11,0,4,0.61,3.81,11,19,2,7,7,9,14.11,20.88,0.05,2.92
Brighton,Newcastle United,Premier_League,2020-07-20,0,0,0.86,0.93,11,12,3,1,4,3,6.73,15.43,1.27,1.39
Newcastle United,Liverpool,Premier_League,2020-07-26,1,3,0.34,0.57,3,14,2,6,0,7,19.17,6.0,1.07,1.46
Real Madrid,Getafe,La_Liga,2020-07-02,1,0,1.76,0.35,8,10,4,3,3,1,4.27,8.02,2.57,0.28
Wolfsburg,Bayern Munich,Bundesliga,2020-06-27,0,4,0.75,3.22,12,16,4,9,2,7,15.24,10.32,0.16,2.77
Schalke 04,Bayer Leverkusen,Bundesliga,2020-06-14,1,1,1.47,0.89,7,15,4,5,2,6,18.19,4.64,1.93,0.8
Villarreal,Real Sociedad,La_Liga,2020-07-13,1,2,0.37,1.25,9,11,3,6,3,9,12.0,14.19,0.57,2.15
Celta Vigo,Levante,La_Liga,2020-07-16,2,3,1.65,1.4,15,8,6,4,9,3,5.29,9.08,1.54,1.17
Alaves,Granada,La_Liga,2020-07-01,0,2,1.02,1.24,11,7,4,4,5,5,4.8,7.12,1.13,1.54
Alaves,Barcelona,La_Liga,2020-07-19,0,5,0.27,3.63,8,16,0,8,4,11,17.46,6.69,0.03,2.96
Crystal Palace,Tottenham,Premier_League,2020-07-26,1,1,0.99,0.31,13,7,2,2,6,3,13.24,6.31,2.05,0.62
Leicester,Manchester United,Premier_League,2020-07-26,0,2,0.75,1.41,14,7,3,3,2,9,9.86,8.03,0.74,1.98
Atletico Madrid,Mallorca,La_Liga,2020-07-03,3,0,2.65,0.6,15,13,3,1,18,4,9.38,14.68,2.71,0.2
Espanyol,Celta Vigo,La_Liga,2020-07-19,0,0,0.36,0.44,8,9,1,3,1,2,9.96,9.35,1.13,1.34
Nice,Lens,Ligue_1,2020-08-23,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
SPAL 2013,Inter,Serie_A,2020-07-16,0,4,0.81,2.53,12,16,0,6,7,8,15.68,9.69,0.29,2.57
FC Ufa,Spartak Moscow,RFPL,2020-08-19,1,1,0.27,2.85,7,21,2,5,1,17,23.17,6.19,0.07,2.88
Tottenham,Everton,Premier_League,2020-07-06,1,0,0.51,0.4,12,11,2,3,3,3,10.58,12.2,1.37,1.14
Getafe,Atletico Madrid,La_Liga,2020-07-16,0,2,1.14,1.74,15,11,6,3,3,8,10.5,6.47,0.87,1.88
Ural,FC Krasnodar,RFPL,2020-08-22,1,0,1.24,1.35,12,15,4,6,4,9,24.0,8.71,1.26,1.45
Real Sociedad,Espanyol,La_Liga,2020-07-02,2,1,1.39,0.12,12,4,4,3,3,0,6.67,14.75,2.51,0.28
PFC Sochi,Rubin Kazan,RFPL,2020-08-18,3,2,1.69,2.17,11,18,6,7,4,3,15.81,8.44,1.05,1.7
Augsburg,RasenBallsport Leipzig,Bundesliga,2020-06-27,1,2,0.16,1.89,5,14,1,5,3,6,11.63,7.95,0.16,2.71
Zenit St. Petersburg,FC Tambov,RFPL,2020-08-22,4,1,3.73,0.3,25,6,10,4,13,2,8.62,29.44,2.96,0.03
Bologna,Napoli,Serie_A,2020-07-15,1,1,0.67,0.87,13,9,1,3,10,5,9.46,19.14,1.14,1.51
Granada,Valencia,La_Liga,2020-07-04,2,2,2.68,0.85,17,4,4,3,10,4,5.72,9.36,2.6,0.27
Werder Bremen,FC Cologne,Bundesliga,2020-06-27,6,1,3.25,0.85,18,6,9,2,5,0,9.3,12.88,2.76,0.16
West Ham,Aston Villa,Premier_League,2020-07-26,1,1,0.78,0.98,10,13,1,4,2,4,7.22,10.64,1.16,1.49
Real Valladolid,Alaves,La_Liga,2020-07-04,1,0,0.59,0.31,5,7,3,0,0,1,11.41,11.76,1.6,0.93
Osasuna,Getafe,La_Liga,2020-07-05,0,0,0.67,0.29,6,6,2,1,3,1,5.63,4.11,1.76,0.81
Wolverhampton Wanderers,Crystal Palace,Premier_League,2020-07-20,2,0,1.49,0.44,11,7,5,3,4,1,14.12,11.68,2.36,0.42
Verona,SPAL 2013,Serie_A,2020-07-29,3,0,2.04,0.74,17,14,10,5,18,4,12.24,16.31,2.37,0.45
FK Akhmat,FC Rotor Volgograd,RFPL,2020-08-19,3,1,3.2,0.58,25,7,9,3,11,1,6.87,15.17,2.84,0.1
West Ham,Burnley,Premier_League,2020-07-08,0,1,2.0,1.05,22,8,5,4,8,6,10.94,24.13,2.07,0.71
CSKA Moscow,Rubin Kazan,RFPL,2020-08-22,1,2,0.87,0.92,20,14,7,6,8,7,8.83,13.12,1.29,1.38
Atalanta,Inter,Serie_A,2020-08-01,0,2,1.02,1.16,13,11,1,3,9,4,7.54,12.96,1.19,1.5
AC Milan,Cagliari,Serie_A,2020-08-01,3,0,3.32,0.23,15,5,5,1,17,1,8.0,24.71,2.94,0.03
Borussia Dortmund,Hoffenheim,Bundesliga,2020-06-27,0,4,0.13,3.86,7,16,4,7,7,9,16.76,24.2,0.01,2.98
Manchester City,Newcastle United,Premier_League,2020-07-08,5,0,3.29,0.22,23,6,9,1,23,1,6.38,33.33,2.91,0.05
Napoli,Udinese,Serie_A,2020-07-19,2,1,1.13,0.84,24,4,9,3,11,3,11.7,23.06,1.55,1.13
Arsenal,Watford,Premier_League,2020-07-26,3,2,1.95,3.92,13,19,5,6,11,11,16.42,11.32,0.35,2.53
Lecce,Parma Calcio 1913,Serie_A,2020-08-02,3,4,2.63,3.54,16,19,7,10,9,12,15.22,19.92,0.84,1.96
Real Valladolid,Real Betis,La_Liga,2020-07-19,2,0,0.92,0.55,13,9,4,3,9,6,17.65,9.38,1.67,0.96
Mallorca,Granada,La_Liga,2020-07-16,1,2,1.22,1.09,18,14,5,6,3,9,9.5,7.0,1.45,1.25
Celta Vigo,Real Betis,La_Liga,2020-07-04,1,1,0.24,0.64,5,10,1,3,6,3,8.58,6.96,0.83,1.71
Eintracht Frankfurt,Paderborn,Bundesliga,2020-06-27,3,2,1.97,1.49,12,17,4,5,8,7,6.93,18.95,1.75,1.0
FC Cologne,Union Berlin,Bundesliga,2020-06-13,1,2,1.34,0.53,10,6,6,4,7,1,6.28,11.2,2.11,0.62
Leganes,Real Madrid,La_Liga,2020-07-19,2,2,1.16,1.06,15,7,7,4,7,11,15.42,10.06,1.4,1.3
Inter,Napoli,Serie_A,2020-07-28,2,0,0.59,1.17,8,18,6,2,5,4,21.36,17.31,0.84,1.85
Granada,Real Madrid,La_Liga,2020-07-13,1,2,0.93,0.53,13,11,4,5,4,3,13.23,8.0,1.7,0.94
Genoa,Lecce,Serie_A,2020-07-19,2,1,0.45,1.7,10,18,3,1,7,5,14.6,12.65,0.37,2.44
Wolverhampton Wanderers,Everton,Premier_League,2020-07-12,3,0,2.87,0.29,14,6,7,2,4,3,14.35,18.63,2.89,0.07
Athletic Club,Real Madrid,La_Liga,2020-07-05,0,1,0.24,2.9,7,10,1,4,2,6,12.5,9.31,0.05,2.92
Khimki,FK Akhmat,RFPL,2020-08-22,1,2,1.48,1.52,13,17,5,6,8,8,11.67,4.13,1.3,1.38
Nimes,Brest,Ligue_1,2020-08-23,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
Real Sociedad,Sevilla,La_Liga,2020-07-16,0,0,0.84,0.61,11,8,4,3,4,6,11.31,6.35,1.54,1.09
Osasuna,Mallorca,La_Liga,2020-07-19,2,2,1.01,0.6,12,12,5,4,6,4,6.71,7.19,1.72,0.93
Lazio,Brescia,Serie_A,2020-07-29,2,0,3.91,0.79,29,13,13,2,21,9,7.8,20.2,2.84,0.11
Dinamo Moscow,FC Rostov,RFPL,2020-08-19,2,0,1.15,0.42,6,11,3,1,5,7,13.26,4.89,2.18,0.54
Genoa,Verona,Serie_A,2020-08-02,3,0,0.9,0.98,4,18,4,1,1,13,20.83,9.06,1.31,1.36
Parma Calcio 1913,Atalanta,Serie_A,2020-07-28,1,2,1.56,1.14,14,14,4,4,5,10,11.27,9.8,1.71,1.02
Real Valladolid,Levante,La_Liga,2020-07-01,0,0,1.37,0.21,14,8,4,3,11,6,16.31,12.06,2.53,0.28
Brighton,Liverpool,Premier_League,2020-07-08,1,3,2.36,2.62,12,19,2,8,5,15,20.92,8.65,1.27,1.51
Dijon,Angers,Ligue_1,2020-08-22,0,1,0.74,2.02,9,12,1,4,5,6,22.0,24.13,0.42,2.38
Bayer Leverkusen,Mainz 05,Bundesliga,2020-06-27,1,0,1.88,0.35,13,6,2,1,14,2,5.47,23.05,2.56,0.28
Monaco,Reims,Ligue_1,2020-08-23,2,2,2.68,1.83,22,9,5,3,14,3,3.79,21.19,1.94,0.86
SPAL 2013,Fiorentina,Serie_A,2020-08-02,1,3,0.86,2.25,8,28,4,11,2,12,19.38,16.71,0.45,2.35
Lecce,Fiorentina,Serie_A,2020-07-15,1,3,0.45,2.59,10,14,2,8,7,6,15.5,19.6,0.16,2.75
Athletic Club,Leganes,La_Liga,2020-07-16,0,2,0.62,1.85,10,16,3,4,5,8,5.66,13.35,0.47,2.33
Zenit St. Petersburg,CSKA Moscow,RFPL,2020-08-19,2,1,1.18,0.68,16,13,7,4,22,7,12.43,15.79,1.78,0.91
Sassuolo,Genoa,Serie_A,2020-07-29,5,0,3.05,1.11,18,13,8,2,15,5,11.41,27.21,2.53,0.35
Udinese,Lazio,Serie_A,2020-07-15,0,0,1.03,0.72,14,16,5,2,3,11,18.6,14.19,1.62,1.05
Eibar,Osasuna,La_Liga,2020-07-02,0,2,0.84,0.97,11,9,4,6,3,4,7.94,9.63,1.23,1.45
Everton,Bournemouth,Premier_League,2020-07-26,1,3,1.75,1.46,13,13,5,7,13,7,5.35,13.56,1.59,1.1
FC Tambov,Khimki,RFPL,2020-08-18,1,0,1.33,0.67,5,20,2,3,0,5,14.25,8.22,2.04,0.68
