League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Premier_League,2020-10-19,1730,West Brom,Burnley,2.37,3.25,3.1,1.95,1.67,1.67,1.87,1.33,None,1.53,None,2020-10-19,1351
Serie_A,2020-10-19,1945,Hellas Verona,Genova,2.04,2.94,2.86,1.61,1.78,1.5,1.95,1.30,None,1.57,None,2020-10-19,1350
Premier_League,2020-10-19,2000,Leeds United,Wolverhampton,2.48,3.51,3.19,1.8,1.8,1.61,1.95,1.35,None,1.53,SO,2020-10-19,1351
Primeira_Liga,2020-10-19,2015,Boavista FC,Vitoria Guimaraes,3.6,3.2,2.18,2.12,1.6,1.78,1.7,1.63,None,1.26,None,2020-10-19,1349
Premiership,2020-10-20,1900,Aberdeen FC,Hamilton Academical,1.38,4.65,7.0,1.83,1.65,2.13,1.47,1.06,None,2.8,None,2020-10-19,1344
Championship,2020-10-20,1945,Bristol City,Middlesbrough,2.3,3.05,3.15,1.95,1.57,1.72,1.75,1.31,None,1.55,None,2020-10-19,1341
Championship,2020-10-20,1945,Nottingham Forest,Rotherham,1.87,3.4,4.0,1.95,1.57,1.8,1.67,1.20,None,1.83,None,2020-10-19,1341
Championship,2020-10-20,1945,Huddersfield,Derby County,2.35,3.05,3.05,2.0,1.55,1.72,1.75,1.33,None,1.53,None,2020-10-19,1341
Championship,2020-10-20,1945,Millwall FC,Luton Town,1.95,3.25,3.85,2.0,1.53,1.8,1.67,1.21,None,1.75,None,2020-10-19,1341
Championship,2020-10-20,1945,Norwich City,Birmingham,1.78,3.45,4.33,1.8,1.67,1.72,1.75,1.18,None,1.91,None,2020-10-19,1341
Championship,2020-10-20,1945,Coventry City,Swansea City,3.0,3.2,2.3,1.9,1.6,1.7,1.78,1.55,None,1.33,None,2020-10-19,1341
Championship,2020-10-20,2000,Reading,Wycombe,1.57,3.95,5.35,1.78,1.7,1.83,1.65,1.12,None,2.25,None,2020-10-19,1341
